check,expected,actual,passed
catalog_event_count,30,30,True
catalog_policy_count,10,10,True
ready_with_user_scenario,27,27,True
intentionally_blocked_or_unselected,3,3,True
grant_support,3000000,3000000,True
grant_pre_financing,4000000,4000000,True
grant_user_contribution,1000000,1000000,True
grant_minimum_cash,-2000000,-2000000,True
voucher_cash_inflow,0,0,True
voucher_cost_reduction,250000,250000,True
voucher_6m_delta,250000,250000,True
direct_loan_principal,10000000,10000000,True
direct_loan_rate,2.5,2.5,True
direct_loan_payments,60,60,True
direct_loan_maturity_balance,0,0,True
subsidized_gross_rate,5.0,5.0,True
subsidized_interest_reduction_positive,True,True,True
subsidized_net_interest_lower,True,True,True
refinance_old_payments,12,12,True
refinance_new_payments,120,120,True
refinance_first_payment_lower,True,True,True
refinance_total_interest_tradeoff,True,True,True
guarantee_without_loan_cash,0,0,True
guarantee_info_only,information_only,information_only,True
approval_probability_absent,False,False,True
deterministic_grant_application,True,True,True
