path,size_bytes,sha256,disposition,reason,overwrite_allowed
app/main.py,1329,bf1666215ae18a5cb0cb78ac829efded88383f73fcd5548eed294a0ede581170,preserve_legacy_rebuild_later,Preserve original; do not use as the new service contract,no
config/settings.yaml,1222,59e71a33ea88225ca43237103651a1d0e8fbae524fd7a5652a28b5f46b2802c3,preserve_legacy_rebuild_later,Preserve original; do not use as the new service contract,no
config/stage4.yaml,1168,db1e77a97e3a54ea2f8f33cf88647b326ed28ae23570c3bdc0183ef00d3d5120,frozen_reference,Stage 0-6 reproducibility reference,no
config/stage5.yaml,10554,0ad24d7dbe003c863230aa404d7a58c9a0fd965076633fddeb870a36d627de1a,frozen_reference,Stage 0-6 reproducibility reference,no
config/stage6.yaml,1710,2d9ae03fa579aef6a69df11111c79fa9cddf64ac472911e0e01ee9926e56dcc1,frozen_reference,Stage 0-6 reproducibility reference,no
data/processed/.gitkeep,1,01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,frozen_baseline,Stage 0-6 verified artifact,no
data/processed/stage3_panel.parquet,123847502,88370a02f592c020196613e69a9dc8e642cf3ba14a00003bb6cdd37198f40e07,frozen_baseline,Stage 0-6 verified artifact,no
data/processed/stage4_development.parquet,65921760,759adc597db789c906c22e98c2280ba32d54ccc241cd4e54015fab23b5b6d5d5,frozen_baseline,Stage 0-6 verified artifact,no
data/processed/stage4_fold_membership.parquet,1988642,8bfe51d9b1a175ea854e9237e2b3c763de2abd2b379835381f310fe2ec5426fe,frozen_baseline,Stage 0-6 verified artifact,no
data/processed/stage4_locked_test_features.parquet,23613135,ed2e69aae402bd321ecb599b24603150d8f93670c2d30807003dd1163fa27dc5,frozen_baseline,Stage 0-6 verified artifact,no
data/processed/stage6_reference_features.parquet,9860551,17312576f646b424c176573a8e2a3b244480892c28c67d00025c8b26de014d38,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage0/mvp_scope.md,2425,077df21f8739df4c90b0ef0f549daa7d6549cd2950591a82fbc80b5d210a60a5,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage0/verification.md,1238,c4d388ded58859bd1e83a382c09fc1af919eab263f7d070b70424765ab67f1d9,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage1/README.md,587,aa23324579315beeb5d43db3b803e4c04589193d531786ff78b93ff92d285e55,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage1/archive_contents.csv,3927,b28e4ad0352d649db0c6be5fa647885afcd5b779c3c89c82d51eb5ce7aa16877,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage1/data_inventory.csv,5509,f3a4e96be8baac2774a0efa13e6ce7c1ffff588aba44511f59e9a235151db505,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage1/qa_summary.md,743,e44ce94487dbc0b73d5623b0d63bcde7914da32e6c6b4d44e029ec7846c8f766,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/code_coverage.csv,2994,9bf8c556a8418236682c3e7ae7aad82be75e25a8fc0b3589c733c92274b13c5d,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/join_coverage.csv,999,d1022bd8a5242b34eb6446d19c17ab8ddfb821d7745960393378b9defa7dbc4f,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/key_quality.csv,3016,630bf29f85a96f6c163d0fbc516ffbf3573314c18661ed3cdd63444afdafd94e,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/logical_checks.csv,14830,be88f7d006b6d3b88bd275a594c1f02729999435ffeca3d91d6334a48d6455f8,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/missingness.csv,369408,1b9706b18704843072b0ba07d37bacc77fa043f015064c34adf521fb392189c5,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/outlier_summary.csv,2375,8faebf9e3fa1993b9fcdd22158c33aa57dffd7844a4e6e44172a3e0e50629736,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/panel_gap_summary.csv,1280308,a9a16b19a5aa3842dc7dacfef6389fb82e32adc190cbd49c17475c770dfc33cf,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/period_coverage.csv,9983,c905bd1be676bb85e2773d4574b303c0e0cf2b386ee63a27b5a0d0677ade3eb5,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/qa_summary.md,2332,54deb6ca65d09859915c4a344338d2914ec50399020a0bc86bad9135b8f45df7,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/quality_validation_plan.md,16058,8174d635cb2bba914ce8d71008845d37ac5d5734c17c945540e5077445fd6428,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/schema_mapping.md,3577,3fb10d163911f2b5a92a150ff0c43a099f4459cce55de35b91f7f8dda16273a9,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage2/spatial_quality.csv,334,6b76d100b1eb0d7fb35a418bd30ceded02ceabef88dd05696a4faab89cb48938,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage3/data_dictionary.csv,18347,d40fe3af0c8531b1780fa3f12882952eb4cbefc3ebd5046ae01cc8b3635a8a2b,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage3/feature_definitions.md,1669,a91a64e6d7d61ec190e1f236bd158fa7ece13dc8d41ca755c7312721912e51c4,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage3/feature_quality.csv,1389,5df7c6e77ba58a8c0504901a3b211d662765eea02b251641eb1a883fb00cbd24,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage3/join_row_counts.csv,117,4fd8c41f4a828191f411a15c2aa64a42f60268b0b4eb75e2619d1a8e8e5408e0,frozen_baseline,Stage 0-6 verified artifact,no
reports/stage3/manual_spot_check.csv,567,8fa7132cf5d82d038950390539a28bc3747767792659c10008d9ce06ac617240,frozen_baseline,Stage 0-6 verified artifact,no
